Biology Drama Fiction History Music Poetry
1 0.8 0.6875 0.4375 0.571428571428571 0.307692307692308 0.357142857142857
2 0.6 0.5625 0.375 0.214285714285714 0.384615384615385 0.357142857142857
3 0.6 0.6875 0.625 0.642857142857143 0.307692307692308 0.428571428571429
5 0.8 0.4375 0.625 0.428571428571429 0.538461538461538 0.5
8 0.6 0.625 0.4375 0.571428571428571 0.692307692307692 0.714285714285714
10 0.6 0.5625 0.5625 0.285714285714286 0.384615384615385 0.428571428571429
12 0.6 0.625 0.625 0.357142857142857 0.384615384615385 0.5
